# target	soc	dtb	boot_flow	uboot_device_name	immortalwrt_dts
9tripod_x3568-v4	rk3568	rk3568-9tripod-x3568-v4	pine64-img	9tripod-x3568-v4-rk3568	linux-upstream:arch/arm64/boot/dts/rockchip/rk3568-9tripod-x3568-v4.dts
ariaboard_photonicat	rk3568	rk3568-photonicat	pine64-img	photonicat-rk3568	linux-upstream:arch/arm64/boot/dts/rockchip/rk3568-photonicat.dts
ariaboard_photonicat2	rk3576	rk3576-photonicat2	pine64-img	photonicat2-rk3576	target/linux/rockchip/files/arch/arm64/boot/dts/rockchip/rk3576-photonicat2.dts
armsom_sige3	rk3568	rk3568-armsom-sige3	pine64-img	sige3-rk3568	target/linux/rockchip/files/arch/arm64/boot/dts/rockchip/rk3568-armsom-sige3.dts
armsom_sige7	rk3588	rk3588-armsom-sige7	pine64-img	sige7-rk3588	linux-upstream:arch/arm64/boot/dts/rockchip/rk3588-armsom-sige7.dts
cyber_cyber3588-aib	rk3588	rk3588-cyber3588-aib	pine64-img	cyber3588-aib-rk3588	target/linux/rockchip/files/arch/arm64/boot/dts/rockchip/rk3588-cyber3588-aib.dts
ezpro_mrkaio-m68s	rk3568	rk3568-mrkaio-m68s	pine64-img	mrkaio-m68s-rk3568	target/linux/rockchip/files/arch/arm64/boot/dts/rockchip/rk3568-mrkaio-m68s.dts
firefly_roc-rk3328-cc	rk3328	rk3328-roc-cc	pine64-bin	roc-cc-rk3328	linux-upstream:arch/arm64/boot/dts/rockchip/rk3328-roc-cc.dts
firefly_roc-rk3568-pc	rk3568	rk3568-roc-pc	pine64-img	roc-pc-rk3568	linux-upstream:arch/arm64/boot/dts/rockchip/rk3568-roc-pc.dts
friendlyarm_nanopc-t4	rk3399	rk3399-nanopc-t4	pine64-bin	nanopc-t4-rk3399	linux-upstream:arch/arm64/boot/dts/rockchip/rk3399-nanopc-t4.dts
friendlyarm_nanopc-t6	rk3588	rk3588-nanopc-t6	pine64-img	nanopc-t6-rk3588	linux-upstream:arch/arm64/boot/dts/rockchip/rk3588-nanopc-t6.dts
friendlyarm_nanopi-m5	rk3576	rk3576-nanopi-m5	pine64-img	nanopi-m5-rk3576	linux-upstream:arch/arm64/boot/dts/rockchip/rk3576-nanopi-m5.dts
friendlyarm_nanopi-r2c	rk3328	rk3328-nanopi-r2c	pine64-bin	nanopi-r2c-rk3328	linux-upstream:arch/arm64/boot/dts/rockchip/rk3328-nanopi-r2c.dts
friendlyarm_nanopi-r2c-plus	rk3328	rk3328-nanopi-r2c-plus	pine64-bin	nanopi-r2c-plus-rk3328	linux-upstream:arch/arm64/boot/dts/rockchip/rk3328-nanopi-r2c-plus.dts
friendlyarm_nanopi-r2s	rk3328	rk3328-nanopi-r2s	pine64-bin	nanopi-r2s-rk3328	linux-upstream:arch/arm64/boot/dts/rockchip/rk3328-nanopi-r2s.dts
friendlyarm_nanopi-r3s	rk3566	rk3566-nanopi-r3s	pine64-img	nanopi-r3s-rk3566	linux-upstream:arch/arm64/boot/dts/rockchip/rk3566-nanopi-r3s.dts
friendlyarm_nanopi-r4s	rk3399	rk3399-nanopi-r4s	pine64-bin	nanopi-r4s-rk3399	linux-upstream:arch/arm64/boot/dts/rockchip/rk3399-nanopi-r4s.dts
friendlyarm_nanopi-r4se	rk3399	rk3399-nanopi-r4se	pine64-bin	nanopi-r4se-rk3399	target/linux/rockchip/files/arch/arm64/boot/dts/rockchip/rk3399-nanopi-r4se.dts
friendlyarm_nanopi-r4s-enterprise	rk3399	rk3399-nanopi-r4s-enterprise	pine64-bin	nanopi-r4s-rk3399	linux-upstream:arch/arm64/boot/dts/rockchip/rk3399-nanopi-r4s-enterprise.dts
friendlyarm_nanopi-r5c	rk3568	rk3568-nanopi-r5c	pine64-img	nanopi-r5c-rk3568	linux-upstream:arch/arm64/boot/dts/rockchip/rk3568-nanopi-r5c.dts
friendlyarm_nanopi-r5s	rk3568	rk3568-nanopi-r5s	pine64-img	nanopi-r5s-rk3568	linux-upstream:arch/arm64/boot/dts/rockchip/rk3568-nanopi-r5s.dts
friendlyarm_nanopi-r6c	rk3588s	rk3588s-nanopi-r6c	pine64-img	nanopi-r6c-rk3588s	target/linux/rockchip/files/arch/arm64/boot/dts/rockchip/rk3588s-nanopi-r6c.dts
friendlyarm_nanopi-r6s	rk3588s	rk3588s-nanopi-r6s	pine64-img	nanopi-r6s-rk3588s	target/linux/rockchip/files/arch/arm64/boot/dts/rockchip/rk3588s-nanopi-r6s.dts
friendlyarm_nanopi-r76s	rk3576	rk3576-nanopi-r76s	pine64-img	generic-rk3576	linux-upstream:arch/arm64/boot/dts/rockchip/rk3576-nanopi-r76s.dts
huake_guangmiao-g4c	rk3399	rk3399-guangmiao-g4c	pine64-bin	guangmiao-g4c-rk3399	target/linux/rockchip/files/arch/arm64/boot/dts/rockchip/rk3399-guangmiao-g4c.dts
linkease_easepi-r1	rk3568	rk3568-easepi-r1	pine64-img	easepi-r1-rk3568	linux-upstream:arch/arm64/boot/dts/rockchip/rk3568-easepi-r1.dts
lunzn_fastrhino-r66s	rk3568	rk3568-fastrhino-r66s	pine64-img	fastrhino-r66s-rk3568	linux-upstream:arch/arm64/boot/dts/rockchip/rk3568-fastrhino-r66s.dts
lunzn_fastrhino-r68s	rk3568	rk3568-fastrhino-r68s	pine64-img	fastrhino-r68s-rk3568	linux-upstream:arch/arm64/boot/dts/rockchip/rk3568-fastrhino-r68s.dts
lyt_t68m	rk3568	rk3568-lyt-t68m	pine64-img	lyt-t68m-rk3568	target/linux/rockchip/files/arch/arm64/boot/dts/rockchip/rk3568-lyt-t68m.dts
mmbox_anas3035	rk3568	rk3568-mmbox-anas3035	pine64-img	mmbox-anas3035-rk3568	target/linux/rockchip/files/arch/arm64/boot/dts/rockchip/rk3568-mmbox-anas3035.dts
nlnet_xiguapi-v3	rk3568	rk3568-xiguapi-v3	pine64-img	xiguapi-v3-rk3568	target/linux/rockchip/files/arch/arm64/boot/dts/rockchip/rk3568-xiguapi-v3.dts
pine64_rock64	rk3328	rk3328-rock64	pine64-bin	rock64-rk3328	linux-upstream:arch/arm64/boot/dts/rockchip/rk3328-rock64.dts
pine64_rockpro64	rk3399	rk3399-rockpro64	pine64-bin	rockpro64-rk3399	linux-upstream:arch/arm64/boot/dts/rockchip/rk3399-rockpro64.dts
radxa_cm3-io	rk3566	rk3566-radxa-cm3-io	pine64-img	radxa-cm3-io-rk3566	linux-upstream:arch/arm64/boot/dts/rockchip/rk3566-radxa-cm3-io.dts
radxa_e20c	rk3528	rk3528-radxa-e20c	pine64-img	radxa-e20c-rk3528	linux-upstream:arch/arm64/boot/dts/rockchip/rk3528-radxa-e20c.dts
radxa_e25	rk3568	rk3568-radxa-e25	pine64-img	radxa-e25-rk3568	linux-upstream:arch/arm64/boot/dts/rockchip/rk3568-radxa-e25.dts
radxa_e52c	rk3582	rk3582-radxa-e52c	pine64-img	generic-rk3588	linux-upstream:arch/arm64/boot/dts/rockchip/rk3582-radxa-e52c.dts
radxa_rock-2a	rk3528	rk3528-rock-2a	pine64-img	rock-2-rk3528	linux-upstream:arch/arm64/boot/dts/rockchip/rk3528-rock-2a.dts
radxa_rock-2f	rk3528	rk3528-rock-2f	pine64-img	rock-2-rk3528	linux-upstream:arch/arm64/boot/dts/rockchip/rk3528-rock-2f.dts
radxa_rock-3a	rk3568	rk3568-rock-3a	pine64-img	rock-3a-rk3568	linux-upstream:arch/arm64/boot/dts/rockchip/rk3568-rock-3a.dts
radxa_rock-3b	rk3568	rk3568-rock-3b	pine64-img	rock-3b-rk3568	linux-upstream:arch/arm64/boot/dts/rockchip/rk3568-rock-3b.dts
radxa_rock-3c	rk3566	rk3566-rock-3c	pine64-img	rock-3c-rk3566	linux-upstream:arch/arm64/boot/dts/rockchip/rk3566-rock-3c.dts
